rank_sales;game_name;publisher;developer;platform;platform_name;global_sales;game_genre;meta_critic_score;meta_user_score;release_day;release_month;release_year
51;Batman: Arkham City;Warner Bros. Interactive;Rocksteady Studios;X360;Xbox 360;4750000.0;Action;94;8.8;18;10;2011
51;Batman: Arkham City;Warner Bros. Interactive Entertainment;Rocksteady Studios;All;Xbox 360;;Action-Adventure;94;8.8;18;10;2011
41;Resident Evil 5;Capcom;Capcom;PS3;PlayStation 3;5100000.0;Action;84;7.4;13;3;2009
87;Resident Evil 5;Capcom;Capcom;X360;PlayStation 3;3530000.0;Action;84;7.4;13;3;2009
50;Resident Evil 5;Capcom;Capcom;All;PlayStation 3;;Action-Adventure;84;7.4;13;3;2009
41;Resident Evil 5;Capcom;Capcom;PS3;Xbox 360;5100000.0;Action;83;7.4;13;3;2009
87;Resident Evil 5;Capcom;Capcom;X360;Xbox 360;3530000.0;Action;83;7.4;13;3;2009
50;Resident Evil 5;Capcom;Capcom;All;Xbox 360;;Action-Adventure;83;7.4;13;3;2009
42;Grand Theft Auto: Vice City Stories;Rockstar Games;Rockstar Leeds;PSP;PSP		;5080000.0;Action;86;8.2;31;10;2006
132;Grand Theft Auto: Vice City Stories;Rockstar Games;Rockstar Leeds/North;All;PSP		;;Action-Adventure;86;8.2;31;10;2006
46;Uncharted: Drake's Fortune;Sony Computer Entertainment;Naughty Dog;PS3;PlayStation 3;4970000.0;Action;88;7.9;16;11;2007
53;The Lord of the Rings: The Two Towers;Electronic Arts;Stormfront Studios;PS2;PlayStation 2;4670000.0;Action;82;8.1;21;10;2002
74;The Lord of the Rings: The Two Towers;Electronic Arts;Stormfront Studios;All;PlayStation 2;;Action;82;8.1;21;10;2002
57;Spider-Man: The Movie;Activision;Treyarch;PS2;PlayStation 2;4480000.0;Action;76;7.7;15;4;2002
266;Spider-Man: The Movie;Activision;Treyarch;XB;PlayStation 2;1400000.0;Action;76;7.7;15;4;2002
324;Spider-Man: The Movie;Activision;Treyarch;GC;PlayStation 2;1190000.0;Action;76;7.7;15;4;2002
57;Spider-Man: The Movie;Activision;Treyarch;PS2;Xbox		;4480000.0;Action;79;7.5;15;4;2002
266;Spider-Man: The Movie;Activision;Treyarch;XB;Xbox		;1400000.0;Action;79;7.5;15;4;2002
324;Spider-Man: The Movie;Activision;Treyarch;GC;Xbox		;1190000.0;Action;79;7.5;15;4;2002
57;Spider-Man: The Movie;Activision;Treyarch;PS2;GameCube		;4480000.0;Action;76;7.5;15;4;2002
266;Spider-Man: The Movie;Activision;Treyarch;XB;GameCube		;1400000.0;Action;76;7.5;15;4;2002
324;Spider-Man: The Movie;Activision;Treyarch;GC;GameCube		;1190000.0;Action;76;7.5;15;4;2002
59;Batman: Arkham Asylum;Eidos Interactive;Rocksteady Studios;PS3;PlayStation 3;4280000.0;Action;91;8.8;25;8;2009
84;Batman: Arkham Asylum;Eidos Interactive;Rocksteady Studios;X360;PlayStation 3;3540000.0;Action;91;8.8;25;8;2009
137;Batman: Arkham Asylum;Warner Bros. Interactive Entertainment;Rocksteady Studios;All;PlayStation 3;;Action-Adventure;91;8.8;25;8;2009
59;Batman: Arkham Asylum;Eidos Interactive;Rocksteady Studios;PS3;Xbox 360;4280000.0;Action;92;8.7;25;8;2009
84;Batman: Arkham Asylum;Eidos Interactive;Rocksteady Studios;X360;Xbox 360;3540000.0;Action;92;8.7;25;8;2009
137;Batman: Arkham Asylum;Warner Bros. Interactive Entertainment;Rocksteady Studios;All;Xbox 360;;Action-Adventure;92;8.7;25;8;2009
61;Assassin's Creed: Revelations;Ubisoft;Ubisoft Montreal;PS3;PlayStation 3;4230000.0;Action;80;7.6;15;11;2011
62;Assassin's Creed: Revelations;Ubisoft;Ubisoft Montreal;X360;PlayStation 3;4220000.0;Action;80;7.6;15;11;2011
92;Assassin's Creed: Revelations;Ubisoft;Ubisoft Montreal;All;PlayStation 3;;Action-Adventure;80;7.6;15;11;2011
61;Assassin's Creed: Revelations;Ubisoft;Ubisoft Montreal;PS3;Xbox 360;4230000.0;Action;80;7.3;15;11;2011
62;Assassin's Creed: Revelations;Ubisoft;Ubisoft Montreal;X360;Xbox 360;4220000.0;Action;80;7.3;15;11;2011
92;Assassin's Creed: Revelations;Ubisoft;Ubisoft Montreal;All;Xbox 360;;Action-Adventure;80;7.3;15;11;2011
65;Assassin's Creed Unity;Ubisoft;Ubisoft Montreal;All;PlayStation 4;;Action-Adventure;70;5.7;11;11;2014
75;Far Cry 5;Ubisoft;Ubisoft;PS4;PlayStation 4;3950000.0;Action;81;6.8;27;3;2018
199;Far Cry 5;Ubisoft;Ubisoft Montreal;XOne;PlayStation 4;1780000.0;Action;81;6.8;27;3;2018
75;Far Cry 5;Ubisoft;Ubisoft;PS4;Xbox One;3950000.0;Action;82;6.9;27;3;2018
199;Far Cry 5;Ubisoft;Ubisoft Montreal;XOne;Xbox One;1780000.0;Action;82;6.9;27;3;2018
82;Grand Theft Auto: Liberty City Stories;Rockstar Games;Rockstar Leeds;PS2;PlayStation 2;3540000.0;Action;78;7.9;6;6;2006
83;The Getaway;Sony Computer Entertainment;Team Soho;PS2;PlayStation 2;3540000.0;Action;72;7.0;19;1;2003
85;Assassin's Creed: Brotherhood;Ubisoft;Ubisoft Montreal;X360;Xbox 360;3530000.0;Action;89;8.4;16;11;2010
119;Assassin's Creed: Brotherhood;Ubisoft;Ubisoft Montreal;PS3;Xbox 360;2850000.0;Action;89;8.4;16;11;2010
89;Assassin's Creed: Brotherhood;Ubisoft;Ubisoft Montreal;All;Xbox 360;;Action-Adventure;89;8.4;16;11;2010
85;Assassin's Creed: Brotherhood;Ubisoft;Ubisoft Montreal;X360;PlayStation 3;3530000.0;Action;90;8.3;16;11;2010
119;Assassin's Creed: Brotherhood;Ubisoft;Ubisoft Montreal;PS3;PlayStation 3;2850000.0;Action;90;8.3;16;11;2010
89;Assassin's Creed: Brotherhood;Ubisoft;Ubisoft Montreal;All;PlayStation 3;;Action-Adventure;90;8.3;16;11;2010
93;Spider-Man 2;Activision;Treyarch;PS2;PlayStation 2;3410000.0;Action;80;8.7;28;6;2004
347;Spider-Man 2;Activision;Treyarch;XB;PlayStation 2;1120000.0;Action;80;8.7;28;6;2004
462;Spider-Man 2;Activision;Treyarch;GC;PlayStation 2;840000.0;Action;80;8.7;28;6;2004
203;Spider-Man 2;Activision;Treyarch;All;PlayStation 2;;Action-Adventure;80;8.7;28;6;2004
93;Spider-Man 2;Activision;Treyarch;PS2;Xbox		;3410000.0;Action;83;8.4;28;6;2004
347;Spider-Man 2;Activision;Treyarch;XB;Xbox		;1120000.0;Action;83;8.4;28;6;2004
462;Spider-Man 2;Activision;Treyarch;GC;Xbox		;840000.0;Action;83;8.4;28;6;2004
203;Spider-Man 2;Activision;Treyarch;All;Xbox		;;Action-Adventure;83;8.4;28;6;2004
93;Spider-Man 2;Activision;Treyarch;PS2;GameCube		;3410000.0;Action;80;8.4;28;6;2004
347;Spider-Man 2;Activision;Treyarch;XB;GameCube		;1120000.0;Action;80;8.4;28;6;2004
462;Spider-Man 2;Activision;Treyarch;GC;GameCube		;840000.0;Action;80;8.4;28;6;2004
203;Spider-Man 2;Activision;Treyarch;All;GameCube		;;Action-Adventure;80;8.4;28;6;2004
94;Watch Dogs 2;Ubisoft;Ubisoft;PS4;PlayStation 4;3360000.0;Action;82;7.6;15;11;2016
280;Watch Dogs 2;Ubisoft;Ubisoft;XOne;PlayStation 4;1350000.0;Action;82;7.6;15;11;2016
70;Watch Dogs 2;Ubisoft;Ubisoft Montreal;All;PlayStation 4;;Action-Adventure;82;7.6;15;11;2016
94;Watch Dogs 2;Ubisoft;Ubisoft;PS4;Xbox One;3360000.0;Action;81;7.4;15;11;2016
280;Watch Dogs 2;Ubisoft;Ubisoft;XOne;Xbox One;1350000.0;Action;81;7.4;15;11;2016
70;Watch Dogs 2;Ubisoft;Ubisoft Montreal;All;Xbox One;;Action-Adventure;81;7.4;15;11;2016
96;Star Wars Episode III: Revenge of the Sith;LucasArts;The Collective;PS2;PlayStation 2;3320000.0;Action;60;7.4;4;5;2005
306;Star Wars Episode III: Revenge of the Sith;LucasArts;The Collective;XB;PlayStation 2;1240000.0;Action;60;7.4;4;5;2005
518;Star Wars Episode III: Revenge of the Sith;Ubisoft;Ubisoft Montreal;GBA;PlayStation 2;720000.0;Action;60;7.4;4;5;2005
1123;Star Wars Episode III: Revenge of the Sith;Ubisoft;Ubisoft Montreal;DS;PlayStation 2;310000.0;Action;60;7.4;4;5;2005
96;Star Wars Episode III: Revenge of the Sith;LucasArts;The Collective;PS2;Game Boy Advance		;3320000.0;Action;73;8.0;4;5;2005
306;Star Wars Episode III: Revenge of the Sith;LucasArts;The Collective;XB;Game Boy Advance		;1240000.0;Action;73;8.0;4;5;2005
518;Star Wars Episode III: Revenge of the Sith;Ubisoft;Ubisoft Montreal;GBA;Game Boy Advance		;720000.0;Action;73;8.0;4;5;2005
1123;Star Wars Episode III: Revenge of the Sith;Ubisoft;Ubisoft Montreal;DS;Game Boy Advance		;310000.0;Action;73;8.0;4;5;2005
97;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;PS2;PlayStation 2;3280000.0;Action;85;8.6;5;11;2003
344;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;XB;PlayStation 2;1140000.0;Action;85;8.6;5;11;2003
550;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;GC;PlayStation 2;690000.0;Action;85;8.6;5;11;2003
97;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;PS2;Xbox		;3280000.0;Action;84;8.1;5;11;2003
344;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;XB;Xbox		;1140000.0;Action;84;8.1;5;11;2003
