meta_game_name;meta_platform;meta_critic_score;meta_user_score;meta_genre;meta_multiplayer;release_month;release_day;release_year
Resident Evil 4;PlayStation 4;82;8.5;Action Adventure;0;8; 30;2016
We Happy Few;Xbox One;64;5.7;Action Adventure;0;8; 10;2018
DreamWorks How to Train Your Dragon 2;Wii U;47;5.3;Action Adventure;0;6; 10;2014
Darksiders II: Deathinitive Edition;Xbox One;75;7.5;Action Adventure;0;10; 30;2015
ARK: Survival Evolved;Switch;29;2.5;Action Adventure;1;11; 30;2018
Disneyland Adventures;Xbox One;67;5.8;Action Adventure;0;10; 31;2017
DreamWorks Penguins of Madagascar;3DS;51;tbd;Action;0;11; 18;2014
Conan Exiles;Xbox One;64;5.5;Action Adventure;1;5;  8;2018
Assassin's Creed Odyssey;PC;86;6.3;Action Adventure;0;10;  2;2018
Resident Evil 4;Xbox One;76;8.2;Action Adventure;0;8; 30;2016
Earthfall;PlayStation 4;54;5.6;Action;1;7; 13;2018
Assassin's Creed Rogue Remastered;Xbox One;71;7.3;Action Adventure;0;3; 20;2018
Monster Boy and the Cursed Kingdom;Switch;86;8.0;Action;0;12;  4;2018
Earthfall;Xbox One;56;5.5;Action;1;7; 13;2018
Override: Mech City Brawl;PlayStation 4;59;7.0;Action;1;12;  4;2018
Beast Quest;PlayStation 4;33;4.6;Action;0;3; 13;2018
Onimusha: Warlords;PlayStation 4;73;6.6;Action Adventure;0;1; 15;2019
Agony;PlayStation 4;37;4.6;Action Adventure;0;5; 29;2018
Republique;PlayStation 4;72;5.9;Action Adventure;0;3; 22;2016
Agony;Xbox One;34;4.3;Action Adventure;0;5; 29;2018
Override: Mech City Brawl;Xbox One;64;6.6;Action;1;12;  4;2018
Gravity Rush Remastered;PlayStation 4;80;8.1;Action;0;2;  2;2016
Max: The Curse of Brotherhood;Switch;73;7.1;Action Adventure;0;12; 21;2017
