,meta_game_name,meta_platform,meta_publisher,meta_release_date,meta_critic_score,meta_user_score,meta_esrb,meta_genre,meta_multiplayer,meta_full_url
181,"
Castlevania: Lament of Innocence
","

                                                        PlayStation 2
                                                    
","

                                                        Konami
                                                    
","Oct 21, 2003",79,"
8.6
",M,Action Adventure,no,https://www.metacritic.com/game/playstation-2/castlevania-lament-of-innocence
182,"
Bayonetta
","

                                                        Xbox 360
                                                    
","

                                                        Sega
                                                    
","Jan  5, 2010",90,"
8.1
",M,Action,no,https://www.metacritic.com/game/xbox-360/bayonetta
183,"
Teenage Mutant Ninja Turtles
","
                                                        Game Boy Advance
                                    		    ","

                                                        Konami
                                                    
","Oct 31, 2003",71,"
8.1
",E,Action,no,https://www.metacritic.com/game/game-boy-advance/teenage-mutant-ninja-turtles
184,"
Monster Hunter: World
","

                                                        Xbox One
                                                    
","

                                                        Capcom
                                                    
","Jan 26, 2018",90,"
7.2
",T,Role-Playing,yes,https://www.metacritic.com/game/xbox-one/monster-hunter-world
185,"
Teenage Mutant Ninja Turtles
","

                                                        PlayStation 2
                                                    
","

                                                        Konami
                                                    
","Oct 21, 2003",59,"
7.5
",E,Action,yes,https://www.metacritic.com/game/playstation-2/teenage-mutant-ninja-turtles
186,"
Dante's Inferno
","

                                                        Xbox 360
                                                    
","

                                                        Electronic Arts
                                                    
","Feb  9, 2010",73,"
7.6
",M,Action,no,https://www.metacritic.com/game/xbox-360/dantes-inferno
187,"
SpongeBob Squarepants: The Yellow Avenger
","
                                                        PSP
                                    		    ","

                                                        THQ
                                                    
","Mar  6, 2006",48,"
5.3
",E,Action,yes,https://www.metacritic.com/game/psp/spongebob-squarepants-the-yellow-avenger
188,"
Dynasty Warriors 7
","

                                                        PlayStation 3
                                                    
","

                                                        Koei Tecmo Games
                                                    
","Mar 29, 2011",57,"
7.3
",T,Action,yes,https://www.metacritic.com/game/playstation-3/dynasty-warriors-7
189,"
LEGO Pirates of the Caribbean: The Video Game
","
                                                        DS
                                    		    ","

                                                        Disney Interactive Studios
                                                    
","May 10, 2011",69,"
7.8
",E10+,Action Adventure,no,https://www.metacritic.com/game/ds/lego-pirates-of-the-caribbean-the-video-game
190,"
James Cameron's Avatar: The Game
","

                                                        PlayStation 3
                                                    
","

                                                        Ubisoft
                                                    
","Dec  1, 2009",60,"
6.8
",T,Action,yes,https://www.metacritic.com/game/playstation-3/james-camerons-avatar-the-game
